kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,siparaja,Crimson Sunbird,Aethopyga siparaja,TRUE,Aethopyga siparaja_Crimson Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,temminckii,Temminck's Sunbird,Aethopyga temminckii,TRUE,Aethopyga temminckii_Temminck's Sunbird
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,vigorsii,Vigors's Sunbird,Aethopyga vigorsii,TRUE,Aethopyga vigorsii_Vigors's Sunbird
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,canus,Gray-headed Lovebird,Agapornis canus,TRUE,Agapornis canus_Gray-headed Lovebird
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,Fischer's Lovebird,Agapornis fischeri,TRUE,Agapornis fischeri_Fischer's Lovebird
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,personatus,Yellow-collared Lovebird,Agapornis personatus,TRUE,Agapornis personatus_Yellow-collared Lovebird
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,Rosy-faced Lovebird,Agapornis roseicollis,TRUE,Agapornis roseicollis_Rosy-faced Lovebird
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,taranta,Black-winged Lovebird,Agapornis taranta,TRUE,Agapornis taranta_Black-winged Lovebird
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaioides,badius,Grayish Baywing,Agelaioides badius,TRUE,Agelaioides badius_Grayish Baywing
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,TRUE,Agelaius phoeniceus_Red-winged Blackbird
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,tricolor,Tricolored Blackbird,Agelaius tricolor,TRUE,Agelaius tricolor_Tricolored Blackbird
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,cyanopus,Unicolored Blackbird,Agelasticus cyanopus,TRUE,Agelasticus cyanopus_Unicolored Blackbird
